Counts_envelope_Crest_factor,Counts_envelope_Crest_factor.1,Counts_envelope_Crest_factor.2,Counts_envelope_Crest_factor.3,Counts_envelope_Crest_factor.4,Counts_envelope_Crest_factor.5,Counts_envelope_Crest_factor.6,Counts_envelope_Crest_factor.7,Counts_envelope_Crest_factor.8,Counts_envelope_Crest_factor.9,Counts_envelope_Crest_factor.10,Counts_envelope_Crest_factor
2.2715695723288025,1.1125962629685238,1.284649528861476,1.9961467049460409,1.1350958982610238,1.0324157802556344,1.575908802871845,2.3256148446830447,1.1967497287135065,1.1726671462180591,2.777255844133894,2.4150657950862144
1.744289579019424,1.1203385523953575,1.2586568819181796,1.619646896460725,1.0824252590428836,1.351048232890928,1.4590140794044966,1.5223209398541968,1.2988351645895548,1.1714151422555104,2.102795419676155,2.410562634578756
1.873263387132492,1.1280808418221917,1.232664234974883,1.8624256361633909,1.0726741889245688,1.3156800857958355,1.3421193559371478,1.3721592862375422,1.4009206004656034,1.1701631382929614,1.8358986708416667,2.2544363351438883
2.190757865387864,1.1358231312490257,1.2066715880315866,1.0331791497698035,1.0629231188062538,1.3522924905885807,1.2811350590438229,1.3175820842839272,1.3003349889569475,1.1689111343304126,2.4560297122770773,2.3171284108313057
2.023494484792714,1.1435654206758596,1.18067894108829,1.42476386184599,1.053172048687939,1.388904895381326,1.220150762150498,1.530513676045078,1.5289590332531198,1.1676591303678636,1.5245903090826378,2.38976758157978
2.032857578464504,1.1513077101026938,1.1546862941449938,1.316942760672061,1.130830738579034,1.18343508982861,2.552093258840698,1.4614815687260128,1.368979678323348,1.1664071264053146,1.6186805804450934,2.4353762010184585
2.292459430955647,1.1590499995295278,1.1286936472016973,1.6654490189977231,1.0528912656406428,1.133795375384154,1.841566243722015,1.7345636101276234,1.667626829210985,1.222560276227015,1.5994863623409548,2.322314052247597
1.5906481461976023,1.1667922889563618,1.137575928802243,2.027451847317187,1.0921898658829907,1.3648502119489403,1.1310392286033322,1.6071106195915894,1.3198048044156856,1.278713426048715,1.57694746442974,2.23813432376782
1.5060738909366669,1.1745345783831955,1.1464582104027887,1.2157899049953529,1.1314884661253388,1.4018438374934887,1.5878633977440562,1.5019053642876543,1.3000226748744867,1.2655445753129493,2.057770204740643,2.3961348792299457
1.5242535465054574,1.1822768678100295,1.1553404920033343,1.7158746795437771,1.1707870663676867,1.1771120763408374,2.04468756688478,1.3783675763869236,1.6026628653481032,1.2523757245771836,2.291246832817344,2.43842352060172
