Duration_envelope_Central_moment_3rd_order,Duration_envelope_Central_moment_3rd_order.1,Duration_envelope_Central_moment_3rd_order.2,Duration_envelope_Central_moment_3rd_order.3,Duration_envelope_Central_moment_3rd_order.4,Duration_envelope_Central_moment_3rd_order.5,Duration_envelope_Central_moment_3rd_order.6,Duration_envelope_Central_moment_3rd_order.7,Duration_envelope_Central_moment_3rd_order.8,Duration_envelope_Central_moment_3rd_order.9,Duration_envelope_Central_moment_3rd_order.10,Duration_envelope_Central_moment_3rd_order
1034585.6620917608,6.73983442155938e-10,-33232.92572626685,898990.1135563622,-4036155.444946309,67612.9171240891,318554.2176073863,198085.7535690453,108830.04326974726,-717462.5557085853,12468923.848679531,2662187.971304317
921316.9573052488,8.11843691687834e-10,-29078.81001048353,5294624.358506321,-7066086.202846428,-717272.6648094325,7.275957614183426e-11,-407839.05718689127,-6815065.90193148,0.0,944422.383813662,2035652.153733112
488320.56505114416,9.49703941219731e-10,-24924.69429470022,3264053.8391648903,-276806.57389711775,261135902.77750668,4311699.980877615,218693.63814289123,8472609.175803017,-4.6566128730773915e-10,-21193.692907414945,665700.2943260776
1364186.591173641,1.0875641907516278e-09,-20770.578578916902,-55696.36954939964,792898.6217046523,12889349.602194585,8623399.96175523,-733910.2480274517,-4418228.233025967,-9.313225746154783e-10,1302178.2999038985,3225047.6835818244
2875262.153150945,1.225424440283524e-09,-16616.46286313359,3358071.376851941,-140292.55908039297,7363740.41283131,7186166.634796024,-518568.9520695364,-877670.2920264691,-8.381903171539304e-10,1158058.715343548,5527654.57524636
993069.5325961848,1.3632846898154207e-09,-12462.34714735028,16455018.05862744,36803.58109201259,1471796.9421398826,5748933.307836819,-39896.95456134292,3926746.109229762,-7.450580596923823e-10,2469175.3933329694,1361345.7986604932
2140143.4631024865,1.501144939347317e-09,-8308.231431566965,14483804.728754103,-455907.3885702434,-549360.5393636775,4311699.980877615,23705.46387392669,-723778.2842511777,-6.519258022308345e-10,618926.3301820442,2544807.0542002176
1575486.2949531628,1.6390051888792135e-09,-4154.11571578365,1990672.330210433,-615069.2547782935,-1182680.8882835102,2874466.6539184097,27398675.524812315,5749481.837096433,-5.58793544769287e-10,331195.0839580218,-490430.0655807834
2173783.521453135,1.7768654384111102e-09,-3.346940502524376e-10,8880689.882039387,-842862.5359478414,605437.9118821758,1437233.3269592049,119869.30730883888,-826692.0198686407,-4.6566128730773915e-10,748230.3398652382,1774709.7059459193
782149.3287409589,1.9147256879430062e-09,-6852.328185428168,2962247.901594969,-111494.2211950462,1667191.9925490331,-4.656612873077393e-10,4196462.044622338,-80408.14142810648,-3.7252902984619127e-10,185615.39361264068,6495748.833767706
