Energy_envelope_Peak,Energy_envelope_Peak.1,Energy_envelope_Peak.2,Energy_envelope_Peak.3,Energy_envelope_Peak.4,Energy_envelope_Peak.5,Energy_envelope_Peak.6,Energy_envelope_Peak.7,Energy_envelope_Peak.8,Energy_envelope_Peak.9,Energy_envelope_Peak.10,Energy_envelope_Peak
841800.1398559269,2496022.722324966,2674328.847969029,834934.0244717079,8982346.419107283,4836660.106102295,4968732.691455608,8282071.118268632,857623.7334997632,34466494.26634508,4355573.058390291,8234109.755433542
472786.4089805332,2470089.192191032,2607988.261440365,12206730.52313258,14606236.65898496,4517359.694330222,4360662.593671331,5737231.141215962,6099549.263178789,14677285.881032431,3549264.603623512,7679082.288497844
501961.81022801367,2444155.662057098,2541647.6749117016,18311132.61000871,12225591.451093933,5473782.93032973,3752592.495887053,6235065.948617361,864525.6300185835,13628518.163181528,3401401.803995682,6925711.996864855
392791.4629596745,2418222.131923164,2475307.088383038,17010490.13662543,13323738.776573544,3380879.257099305,3144522.398102776,7460660.788859578,680864.6175724645,12579750.445330624,3253539.004367851,7264599.064616188
355937.51013171626,2392288.60178923,2408966.5018543745,1278456.9938182652,58300759.97484896,3935613.683338741,2536452.3003184986,5365525.139490122,1456886.7819713985,11530982.72747972,3003661.4494930496,6743091.769873335
326822.9576616657,2366355.071655296,2342625.9153257105,4921148.807020914,10700139.845220596,155004287.9381256,1928382.2025342209,6882857.420026768,1874109.054335548,10482215.009628814,2857462.187530222,6669766.015010119
495258.1786064304,2340421.541521362,2276285.328797047,24290868.986027803,9547982.986537104,3605364.7331405054,3105835.213176343,6827964.905350572,1317234.4227578335,9433447.29177791,2711262.9255673946,5676657.391324685
282313.5268135522,2314488.011387428,2209944.7422683835,37730246.09496849,8001622.268944829,3499258.229495693,4283288.223818465,6623114.744106126,691035.9660993868,9368303.155200316,2565063.663604567,6579078.412454933
239474.4979356603,2288554.481253494,2061238.8823051588,2508583.173971302,6026754.919536494,51249710.70298765,5460741.234460588,5304158.19113968,1159621.8117688294,9303159.01862272,2523131.8260916253,5982057.180591704
286797.3931425903,2262620.95111956,1912533.022341934,11425671.617937597,5762832.34744336,3821601.8282226752,6638194.24510271,4685594.657455375,597599.8186114032,9238014.882045126,2481199.988578684,5670434.416873599
323764.50852933066,2236687.4209856256,1763827.1623787093,,4764470.285230424,3916209.7034438737,7815647.255744833,4876706.390709965,2415202.788950441,9172870.745467529,2439268.1510657426,6027797.369971769
313018.1318403841,2210753.890851692,1663432.356975848,,6051745.911409081,3517524.7691684407,8993100.266386954,4636221.50257378,1101861.8793739288,9107726.608889934,2397336.313552801,6471313.261157746
265082.0084587307,2184820.3607177576,1563037.5515729866,,4940942.554904536,2551134.89279074,6847763.86251569,4856246.544753278,2446433.79012342,9042582.47231234,2108125.521812249,6802420.637077468
305556.9856098009,2158886.830583824,1462642.7461701252,,68700880.88571905,2484875.485331705,4702427.458644426,4580914.184679066,2259469.7206567195,8977438.335734744,1818914.7300716965,6659046.494139244
279228.15646378807,2132953.3004498896,1501908.9442530477,,4537558.934088581,2354144.383659289,5791595.513903556,4534067.759117824,2695508.567914189,8912294.199157149,690673.779737255,6047493.966805747
1855054.828304615,2107019.7703159554,1541175.1423359695,,3975766.754188794,2640894.4559584204,6880763.569162685,4689907.358633082,2521445.4676869866,8847150.062579554,331020.5237441582,6153935.2273374535
572457.8371838884,2081086.2401820216,1580441.340418892,,4123269.421434148,1748093.7591631236,7969931.624421815,4562751.901184296,2466861.863837513,8782005.926001959,553197.9938567509,5502509.355749277
364678.9777698401,2055152.710048088,1525500.9476682036,,19600669.91714124,21707643.485759005,7877229.41092629,4814084.237965015,2554794.8582421723,8716861.789424364,1362227.989933259,4847247.828573978
281372.501414542,2029219.1799141527,1598698.801780626,,3956973.056714381,4550708.767143517,1023055.103565994,5006084.712884497,1778376.0952993084,8651717.652846768,1824645.4713243009,5442857.026129318
292316.7825611866,2003285.64978022,1671896.6558930485,,3692828.154932539,3505326.462662933,1319059.4480835097,12350235.507249003,2430016.159957248,8586573.516269172,2110845.9010957046,102007709.18830888
291664.5856853452,1977352.1196462847,1745094.5100054708,,4404607.328566297,3082007.285237552,1324222.2264156437,4847778.059865738,2067692.1985928984,8521429.379691577,2553305.8298357315,6326226.538173571
912070.60829477,1951418.589512352,1818292.3641178927,,88200274.48202689,1990251.040117645,1329385.0047477772,5309151.767634156,1061780.5059221098,8456285.243113982,4333683.106994803,4409809.065126478
291151.7681729124,1925485.0593784167,1891490.2182303155,,5220665.919455804,1535349.146057401,1334547.783079911,5117543.37122428,2077998.300010461,8391141.106536387,8174131.178416772,5882081.17825367
285399.75924792554,1899551.5292444832,1964688.072342738,,5545633.86070857,1171748.9264314163,1339710.5614120448,4934689.658869172,830162.5168745876,3511257.252698415,128273610.1094448,6401298.908937112
188785.3827990035,1873617.9991105488,2753041.2973671933,,11203549.385749305,55802586.307555385,1344873.3397441786,4860201.000453602,936804.109093556,10137230.62854531,150350722.71655992,6088409.984338868
190957.5525521772,1847684.468976615,28760170.90100966,,66800001.00385311,12916546.412429027,1350036.1180763124,4226710.104864105,1021396.7918884566,16763204.004392209,36611903.15543983,4148561.0520565286
176234.28316847715,1821750.9388426808,4325883.87871018,,4509524.866403717,1064133.3694512828,1355198.896408446,4151142.211774932,823601.6014247589,23389177.3802391,15683993.030625118,4167944.794288012
168799.70551893,1795817.408708747,6786335.673129835,,32820122.756222416,3301258.0542770047,1360361.67474058,4211707.287934886,698751.3537009045,30015150.756086,9804448.934017118,3328413.0958950445
276922.46565047954,1769883.878574813,79502040.32479882,,35804258.919006646,662214.3976604945,1365524.4530727137,3936508.345425559,838435.3649672641,36641124.13193289,6775200.055998934,4382323.057180584
297116.0425408902,1743950.348440879,15392638.53477466,,12514435.663530478,75200356.79683052,1370687.2314048477,3848377.425123526,719370.0128041683,43267097.507779785,6046327.327346871,4871448.443170093
304970.06079641613,1718016.8183069448,28457006.37481855,,12314389.605379462,73600553.95540993,1375850.0097369812,3872077.944998738,588854.8392886837,49893070.883626685,5309105.150203514,4102129.345235952
1416642.008993196,1692083.288173011,22796853.909132976,,15001081.807877705,1835403.7287496573,1381012.788069115,4160605.115414085,474777.7036849833,56519044.25947358,4488061.838979032,3981247.299345614
307839.3424196467,1666149.7580390768,17136701.443447404,,12601004.031117491,11010057.463271484,1386175.5664012488,3917931.892128505,417808.6470538773,63145017.63532047,4850642.56470505,3881472.637792737
145577.87149122165,1640216.2279051428,11476548.977761831,,13007551.305239689,518797.2936087867,1391338.3447333823,3845617.417859845,382195.9144964651,46851919.86357592,4358823.67253365,4243125.504930944
301393.5170202006,1614282.6977712088,7162651.62536648,,54508527.33223054,21801855.55240396,1396501.123065516,4089552.054123791,331124.9805588636,30558822.091831364,4107142.427974513,5585804.418392453
295673.7177794674,1588349.1676372746,6004220.842055755,,72807617.2471344,4204942.771921876,1401663.90139765,3745905.344922312,687127.9946753456,100335294.34903891,3941834.934749024,3390089.3234614413
257715.0061207268,1562415.6375033408,4845790.058745028,,13194679.337678878,1012950.8421520704,1406826.6797297837,3754577.684913788,557634.2373604637,170111766.60624647,3738929.6163560622,3241455.409356249
213581.52040901504,1536482.1073694066,3604150.069288247,,13611867.80837818,4900038.307460494,1411989.4580619177,3803529.719433099,589186.802503795,239888238.86345404,3538126.28896779,4873027.995865347
309753.6062278023,1510548.5772354726,1927025.3967912416,,45636047.06070502,78600005.83115597,1417152.2363940512,3583768.641719024,648653.5880204135,29500572.66335661,3337322.9615795184,4698153.532964179
268595.28780972335,1484615.0471015386,1356420.8445192275,,92809595.51245137,812241.5362471901,1422315.014726185,3611337.3323392416,739714.8755300315,18980065.41469904,3670716.030835997,3167552.1419860288
114331.73287172246,1458681.5169676046,785816.2922472141,,85633682.0609343,793095.7719396844,1427477.7930583188,2937547.3098244555,933916.9749732348,18239430.964432813,2941604.6816508025,3042743.702715495
94385.43918963287,1432747.9868336704,215211.7399752005,,111005401.22545284,1016843.838380739,1432640.5713904526,2791365.419963822,1039952.128136236,17196924.075184934,3738159.697896164,4465851.99080615
149695.47858841406,1406814.4566997364,2339061.8125109985,,123049772.0121522,98900199.72089314,1437803.3497225863,2552887.75184176,1630206.1672276943,17874381.434176944,3366808.4378680605,5980825.226792769
453205.2502946823,1380880.9265658024,4462911.885046797,,21374053.16712141,1129902.9310013892,1442966.12805472,2747829.288863604,481242.766624498,16880428.596054196,2981747.341200924,3618915.5582423457
589722.4190487689,1354947.3964318684,6586761.957582595,,,1236060.5437818733,1448128.906386854,81409817.43719892,1054019.8508069643,15493842.502681157,3196706.3335678903,4000536.720184568
604682.7434944361,1188013.2504616957,8710612.030118393,,,1059127.7346158535,5383414.483967139,30701430.04593044,1012088.7062962408,14647837.581724828,3532205.9427520502,9221750.8971896
773808.0592455323,1021079.1044915224,10834462.10265419,,,15301888.870432606,9318700.061547425,3970037.5664521386,539730.3389341856,11366176.65148092,2896199.388525417,8786931.709068272
754794.9610953986,1276279.2656143815,12958312.175189989,,,1461968.2122403926,13253985.63912771,4853684.306509216,530335.0791259808,10577018.048016928,3216533.6109913457,4037227.611549637
788072.718053462,553957.5118568528,25073374.204791736,,,1640675.0909112792,17189271.216707997,5734449.118121606,520939.819317776,10484505.732190888,4121975.9251055177,8888166.188056035
1115392.532957124,518151.2279870444,19939718.79526421,,,1397226.1988386535,21124556.79428828,5614492.573033875,600617.6671250041,10342814.141699096,3047111.696595888,4122003.780570179
1148040.237284416,511556.0827385216,14806063.3857367,,,1401362.945440853,20433649.360511184,10144594.148316886,708817.035238474,10315246.923464457,2314150.023672932,4991261.571734156
1437203.971081857,504960.9374899989,9672407.976209182,,,5430495.971459913,19742741.92673409,7201618.111392887,782633.394267309,10287679.705229815,2145691.889598441,13001765.654324042
