Counts_envelope_Clearance_factor,Counts_envelope_Clearance_factor.1,Counts_envelope_Clearance_factor.2,Counts_envelope_Clearance_factor.3,Counts_envelope_Clearance_factor.4,Counts_envelope_Clearance_factor.5,Counts_envelope_Clearance_factor.6,Counts_envelope_Clearance_factor.7,Counts_envelope_Clearance_factor.8,Counts_envelope_Clearance_factor.9,Counts_envelope_Clearance_factor.10,Counts_envelope_Clearance_factor
2.094852932450391,1.1793416948349325,1.176803912494088,1.4003950351150958,1.13457154497624,1.2225075794549043,3.599589002785371,1.4691932635632916,1.564675834331959,1.1810870783722938,1.657258589874215,2.5482777174624984
2.3772073539682093,1.190028638079144,1.13755471401171,2.058799545335452,1.0552337220285233,1.148985443252763,2.381371760953688,1.75209298525516,1.892482893899497,1.2971561653490662,1.9306796008528888,2.4371727619095944
1.740340858193382,1.200715581323356,1.1516602579633206,3.0100538721644554,1.0963084093546795,1.388388061521605,1.1631545191220054,1.6343893731527404,1.4294705694858731,1.4132252523258388,1.791686403085429,2.3523618257012853
1.6101511433908973,1.2114025245675677,1.1657658019149313,1.275576841835557,1.137383096680836,1.581064279863167,1.7311953212854791,1.5275184770304415,1.357086606203456,1.3900367347473468,2.1672283882340704,2.541651662673205
1.5935201308588478,1.222089467811779,1.179871345866542,2.263204184604598,1.1784577840069923,1.2128715865368362,2.299236123448953,1.4318369586318294,1.8811945134046129,1.3668482171688547,2.3654369270505327,2.5940172185375743
2.228950139089125,1.232776411055991,1.1939768898181526,2.5810520556182213,1.3429576409048405,1.2282993069403427,2.94959741564234,1.7426558728599135,1.9721677496905448,1.343659699590363,2.669476396660749,2.462781275006485
1.5473304847801788,1.0954183535212885,1.208082433769763,2.276744202834836,1.3302233588572792,1.1811940185716905,1.817347660945372,3.2450994119016863,1.5743147465230083,1.3204711820118706,2.7212939726224503,2.5590326539775647
2.517775100370032,1.125026930447998,1.2221879777213742,2.780972058489789,1.1788759494065826,1.1340887302030385,1.2803535158077604,1.857843776370779,1.3891702612371035,1.2972826644333786,1.5600456868497352,2.607382631912636
2.289405834568204,1.154635507374708,1.236293521672985,3.2334402711224417,1.4503398293253789,1.0869834418343862,1.0773502891503004,1.388942176225035,1.918327890847196,1.2740941468548863,1.9643635829061832,2.616434116108559
2.626872844330536,1.1842440843014177,1.2503990656245956,2.887458372286508,2.275115220068177,1.4075809898828202,1.9198436524080733,1.4259329453276255,1.5230945069598891,1.2509056292763945,1.2022598200598984,2.6831892950608456
2.7572471111941965,1.213852661228127,1.2645046095762065,2.272690522565432,1.2381080333735257,3.7708136239653207,1.0671038738909475,1.7285046457089823,1.2535773466580842,1.2277171116979024,2.236834122283813,2.654342255126069
2.8719515408534138,1.243461238154837,1.278610153527817,2.304423402494324,1.1557985980726757,1.6125307098392498,1.741632424419268,2.238584964394436,1.2645372840940263,1.2045285941194104,1.8660920261582072,2.785616673091952
2.608040728270086,1.2730698150815465,1.0768178333744844,4.914172121069505,1.0593728978759238,1.967445538591737,1.7519763678852711,1.6330635830996243,1.669215160331616,1.1813400765409183,2.511452040525099,2.651682489306376
2.267396411787676,1.302678392008256,1.0804870924928522,3.0264512040482643,1.2307849999762177,1.5104566063241358,1.7623203113512744,2.860436818957944,1.1230358191183267,1.1581515589624265,2.7979884368040944,2.7732014465031694
2.4864955371390405,1.3322869689349657,1.0841563516112205,3.893717869636295,1.2618098662759265,1.814919189761136,1.7726642548172775,1.992409369508464,1.3992102736067946,1.1349630413839342,2.685106415815397,2.8973911512021235
2.434883647698891,1.3618955458616755,1.087825610729588,3.029258914131651,1.1204219186577742,3.562119346542304,2.131093236159455,1.699685925154066,1.81632869313788,1.7087048988591609,2.439548472851197,2.6732346768545154
2.78756063042631,1.391504122788385,1.091494869847956,2.362005062057204,1.38737055747109,2.331328464569346,2.4895222175016327,3.0520511581577296,1.5132875828641483,2.282446756334388,3.493334500853373,2.851771996395036
2.390932328278447,1.421112699715095,1.095164128966324,3.178402179699371,1.3806892450384178,1.955919554844873,2.2984301305193817,2.890820563520129,1.6797100968119842,2.180104050277157,3.004758898229796,2.633882723213577
2.6317260255344137,1.4507212766418045,1.0988333880846917,4.18028370448072,1.26630805236925,2.3283690182257315,2.1073380435371307,2.0919044024299507,1.988705098672124,2.077761344219926,4.686757963346862,3.39285732058256
2.730848491241448,1.480329853568514,1.1025026472030597,4.352421413779416,1.430907070343621,1.6502912379049384,1.91624595655488,2.157943563329032,2.1753816473259024,1.975418638162696,2.002146646829442,2.815214709376652
2.89165237650939,1.5099384304952237,1.1061719063214277,2.4883826997322047,1.416642496940429,2.390273910578901,1.7251538695726292,9.425226166060089,1.8438351117080565,1.8730759321054649,3.951967401775815,3.175205027067962
3.3542849431735946,1.5395470074219333,1.1098411654397953,2.8602485157652864,1.3922653227612385,1.6813300598701253,1.5340617825903782,2.3620545411906297,1.4484057961694488,1.7707332260482338,3.207465962762949,2.943272491896484
2.142240953016344,1.5691555843486429,1.1253421229317404,2.687739130261342,1.4471874385585797,1.5715821882158931,1.3429696956081272,4.0632386191456655,1.4622759889779298,1.6683905199910032,4.139700593659302,3.5281812076160124
1.650467695724364,1.5987641612753527,1.140843080423685,2.8019773220065627,1.3605411241471113,2.1248035152342286,1.325428352113456,1.8516136788547324,1.7424485671315948,1.5660478139337723,2.908433913496131,2.8280170408299456
