Amplitude_envelope_Crest_factor,Amplitude_envelope_Crest_factor.1,Amplitude_envelope_Crest_factor.2,Amplitude_envelope_Crest_factor.3,Amplitude_envelope_Crest_factor.4,Amplitude_envelope_Crest_factor.5,Amplitude_envelope_Crest_factor.6,Amplitude_envelope_Crest_factor.7,Amplitude_envelope_Crest_factor.8,Amplitude_envelope_Crest_factor.9,Amplitude_envelope_Crest_factor.10,Amplitude_envelope_Crest_factor
1.1065260818932785,1.016344867443357,1.0599868601018856,1.03835195480601,1.027208637991466,1.1001094024597706,1.194592849653349,1.1969394248443612,1.0715166013453366,1.0812502852653114,1.1391915669460364,1.082272187320745
1.1272945552044773,1.0111887362082477,1.0533727206903722,1.1719800583444266,1.0381186075466091,1.0151060639275211,1.26370481193965,1.0439954199151136,1.2945050976010666,1.074129058253509,1.1893229199017243,1.0770808338345883
1.2095208648710554,1.0060326049731383,1.046758581278859,1.3440978283730136,1.1402687647993637,1.0208067024653475,1.2335896398754558,1.2509336298942435,1.1292954844378045,1.0670078312417066,1.0707216332187026,1.0831689085973213
1.080068804601644,1.049495780057743,1.0401444418673456,1.2837086111530225,1.014864694410119,1.0349443852946785,1.113181206220632,1.348686054778771,1.099819071924233,1.0598866042299042,1.132542953558043,1.1112676211725916
1.1929427145634468,1.0510071033916502,1.0335303024558324,1.327117547217881,1.0202629757143304,1.0490820681240094,1.0290787116238982,1.2109406297921197,1.0843345595946008,1.0527653772181018,1.086981257503942,1.104103586734866
1.1446063379785525,1.0525184267255574,1.026916163044319,1.262724012101219,1.1103089418100365,1.0632197509533403,1.0239900732011364,1.1682110091172606,1.2171724067299428,1.0456441502062994,1.186279873706647,1.142077330341325
1.2241143963978558,1.0540297500594646,1.0203020236328058,1.2917805881974782,1.2820494640901157,1.1152486450206591,1.1525683977653995,1.177495321975138,1.1042453252493514,1.038522923194497,1.0162677251772665,1.101704876492518
1.1697426111008495,1.055541073393372,1.0136878842212926,1.2489246992586929,1.102014252285615,1.2790786007469226,1.0399217807396413,1.1939858802419916,1.066771377553317,1.0314016961826946,1.2427209310685907,1.1149456052218982
1.143634706294385,1.0570523967272794,1.0070737448097793,1.2136834051165355,1.0744928396739022,1.1404766301829592,1.0990450857154948,1.2994504309634702,1.0594554827829823,1.0242804691708922,1.2007905662761655,1.1772499448337617
1.1626145932539165,1.0585637200611866,1.0951848640957609,1.3902508793413613,1.000251180458668,1.169000512000056,1.0672888925665551,1.1294747865179962,1.1726008212293515,1.0171592421590898,1.3237392046185268,1.09274566748022
1.154400214680607,1.0600750433950938,1.0872231231641614,1.2465297175388996,1.1323437873617967,1.0596746246853943,1.0355326994176155,1.35319808262332,1.0564396584343647,1.0100380151472874,1.3734060952959606,1.105839832136801
1.2224419870817558,1.061586366729001,1.0792613822325616,1.3555167883024608,1.123838248743422,1.0789125804949844,1.0037765062686763,1.2234842300383617,1.15367100513454,1.002916788135485,1.3292111081422442,1.109954542951421
1.1937120888364972,1.0630976900629083,1.071299641300962,1.2625604553382757,1.1158212985124083,1.2529526683394796,1.1588990023867751,1.123763253746357,1.2148803182963908,1.013932517296486,1.168463389356312,1.099051169188341
1.202062432241783,1.0646090133968156,1.0633379003693624,1.1920886604527496,1.0423293851622684,1.1456196003365398,1.3140214985048742,1.2748669104076875,1.172160984074408,1.0249482464574873,1.2471569388649175,1.1105440108186764
1.2321936721574478,1.0661203367307228,1.0553761594377629,1.310840921283673,1.03560881618405,1.2217143780364104,1.2771124483298657,1.293692249777049,1.155678288276126,1.0308962523624294,1.2059554212124353,1.118436489115698
1.245882559337689,1.06763166006463,1.0474144185061631,1.3072769115272946,1.0421619314835555,1.2099552230696853,1.240203398154857,1.221709843662273,1.283017684737446,1.0368442582673714,1.2954618827109097,1.1870569402720257
1.1607123838794955,1.0691429833985373,1.0394526775745636,1.3293307797782072,1.0816650506298653,1.1183499799910577,1.2032943479798486,1.2476649341015895,1.098486345321969,1.0427922641723135,1.1243901868541686,1.1570416703884387
1.1451505805052724,1.0706543067324443,1.031490936642964,1.2400596368036338,1.053346406917106,1.0992310535659668,1.16638529780484,1.4842070004809067,1.2958829178278628,1.0487402700772557,1.1098282574664682,1.1667214560901524
1.1681687759431312,1.072165630066352,1.0235291957113644,1.3396779086905957,1.0741420175204706,1.059562597766778,1.1294762476298317,1.3173960414258394,1.1450546693587305,1.0546882759821976,1.2738971614822665,1.179486546574939
1.195386519262315,1.0736769534002593,1.0285928520854826,1.3028127402563157,1.0704658650405143,1.0790589363848109,1.092567197454823,1.3631249730378237,1.0844306645937716,1.0606362818871398,1.1685465877541474,1.156719141908247
1.064686261190498,1.0751882767341665,1.033656508459601,1.191640354716731,1.0502483759827228,1.0816549703340212,1.090080727484244,1.22874446327794,1.1334190426697457,1.066584287792082,1.1625619654668071,1.1535277507239503
1.1021648258605845,1.0766996000680735,1.0387201648337192,1.1922554679946291,1.0526793839953843,1.0961008164787265,1.0875942575136652,1.3601268806632083,1.095302622958628,1.072532293697024,1.1706902206980956,1.1685698286371555
1.1314774892600814,1.078210923401981,1.0437838212078374,1.1733209284454538,1.0552016518404437,1.072740366354821,1.0851077875430866,1.4130994929332927,1.1832958803786822,1.078480299601966,1.1110917795072723,1.1678409554858296
1.1254153480472406,1.0753321289037452,1.0488474775819556,1.117806254447887,1.116321693289744,1.1116265234134863,1.0826213175725077,1.2004134805584028,1.0235680925760844,1.0844283055069082,1.3391558885581123,1.1874034601108117
