Amplitude_envelope_Clearance_factor,Amplitude_envelope_Clearance_factor.1,Amplitude_envelope_Clearance_factor.2,Amplitude_envelope_Clearance_factor.3,Amplitude_envelope_Clearance_factor.4,Amplitude_envelope_Clearance_factor.5,Amplitude_envelope_Clearance_factor.6,Amplitude_envelope_Clearance_factor.7,Amplitude_envelope_Clearance_factor.8,Amplitude_envelope_Clearance_factor.9,Amplitude_envelope_Clearance_factor.10,Amplitude_envelope_Clearance_factor
1.15788296089825,1.0633575282075929,1.100592461202692,1.2518325989543488,1.1405444667990965,1.0598032467983,1.0369808400990772,1.354054630026169,1.0595685497844711,1.010321832969681,1.3960948513632978,1.112591344748368
1.2256188187189236,1.065046876867931,1.0910140005738451,1.366320798743244,1.133682171551154,1.0815643125788277,1.0037872840843134,1.2245135387429271,1.1622592967532257,1.002923206284337,1.3456752775607737,1.1181431012295997
1.1960832433968045,1.0667362255282695,1.0814355399449984,1.2688312673554447,1.122173288607508,1.2660033768310806,1.1649364693284945,1.1272145860200848,1.2249532187494974,1.0141813002250566,1.1733784820008726,1.1044743565152113
1.204659052363155,1.0684255741886075,1.0718570793161517,1.1985730243897554,1.0427673811750002,1.1476908514209454,1.326085654572675,1.2794486439996502,1.1805749320828454,1.0254393941657765,1.250713711419561,1.1164718869157209
1.2345042482726565,1.0701149228489462,1.0622786186873048,1.3185524645247009,1.0358034605245383,1.231392637975092,1.2884736970103614,1.2960473023592225,1.164138208125293,1.031978804165664,1.2075499490443289,1.126149325272727
1.2489311555932052,1.0718042715092844,1.052700158058458,1.3177477551428662,1.042651735074734,1.2136653973793383,1.2508617394480477,1.2222234057657837,1.2982699399472386,1.038518214165552,1.3016402520118546,1.1964479496833098
1.163701732552455,1.0734936201696226,1.0431216974296111,1.337212958878909,1.0825795387716035,1.1225644108729598,1.2132497818857342,1.2483169257505755,1.1030429872284753,1.0450576241654397,1.129258247779963,1.166542844797713
1.1474348173886302,1.075182968829961,1.0335432368007644,1.2475107948405224,1.0544998888860455,1.101395623430259,1.175637824323421,1.4877990981802685,1.3043767904452856,1.0515970341653271,1.111243734022479,1.1809642905136275
1.1708701983072327,1.0768723174902992,1.0239647761719175,1.3477279927306662,1.0753442399273765,1.0606277153721004,1.138025866761107,1.3186305051595844,1.1523640971997184,1.058136444165215,1.2838588732040224,1.1931970153125773
1.1970382400683113,1.0785616661506376,1.0292201169189317,1.3134134069010464,1.0710388002683646,1.079995946616229,1.1004139091987934,1.3651988596791638,1.0852279511110303,1.064675854165103,1.1694497009846014,1.1700976406148982
1.0658760722256837,1.080251014810976,1.0344754576659458,1.1977040436412016,1.0505441028708564,1.0854424166945438,1.0974928830197097,1.229478701341426,1.134057551609622,1.0712152641649906,1.1650270060063237,1.164620419828651
1.1070016008259589,1.0819403634713145,1.03973079841296,1.199309613539384,1.0533955273354638,1.0979949652075476,1.0945718568406255,1.3610148817121686,1.0997318607241622,1.0777546741648782,1.176469137851361,1.1808120505772388
1.1352121181890715,1.0836297121316525,1.0449861391599742,1.1759633164500245,1.056306379282954,1.0746939224685463,1.0916508306615418,1.438391742063709,1.1898709716500395,1.084294084164766,1.114167679327876,1.1806737529533735
