RMS_envelope_Crest_factor,RMS_envelope_Crest_factor.1,RMS_envelope_Crest_factor.2,RMS_envelope_Crest_factor.3,RMS_envelope_Crest_factor.4,RMS_envelope_Crest_factor.5,RMS_envelope_Crest_factor.6,RMS_envelope_Crest_factor.7,RMS_envelope_Crest_factor.8,RMS_envelope_Crest_factor.9,RMS_envelope_Crest_factor.10,RMS_envelope_Crest_factor
1.311754506403023,1.0175858793078056,1.1510009061257167,1.2453571493323947,1.0782947097136304,1.190990252069224,1.153139045029654,1.6100808629429908,1.0959516482666298,1.0501158258383112,1.125468946088682,1.5526368136810431
1.1317315887641153,1.1648192086948954,1.1286106729348442,1.4167086107463955,1.088999846895813,1.1627695251238728,1.237545496783654,1.5936489615410951,1.2116189268747186,1.048822327364246,1.240874266709478,1.648921426877226
1.214325659051114,1.159019066006992,1.1062204397439717,1.4185469937329351,1.0670629229189763,1.1345487981785214,1.0600092758691178,1.6297414165369404,1.2544338002550532,1.0475288288901807,1.387633144310225,1.2947463789596172
1.4017053629973837,1.1532189233190886,1.0838302065530991,1.2532380818532978,1.1612340363433944,1.1063280712331702,1.1096207049756468,1.656907453774627,1.1905899190874143,1.0462353304161156,1.2101287494430653,1.360416765661526
1.1952105417057426,1.1474187806311853,1.0614399733622266,1.2204273736930515,1.2715193659666275,1.3766953120852785,1.0627663272768586,1.654165240900106,1.089469335578604,1.0449418319420505,1.1898962323553146,1.33345261138464
1.3732006395749137,1.141618637943282,1.039049740171354,1.2857446694006889,1.04493802687421,1.229734595001912,1.065797974650177,1.6424909257943443,1.0812041695134134,1.043648333467985,1.43233723905439,1.3534766675983934
1.5896975204481252,1.1358184952553787,1.0166595069804816,1.2621397991336096,1.103317403530466,1.2441131766962723,1.1350307642272277,1.6352873514073272,1.1350696249122914,1.0423548349939198,1.8551738521939547,1.3248151870375324
1.631576243077011,1.1300183525674752,1.126722984046254,1.4815226990637689,1.1309097280599405,1.307303228871502,1.1407892324092823,2.056414587335482,1.2092508145751122,1.0410613365198544,1.748921702670517,1.2804927642644373
1.4510850097941144,1.124218209879572,1.1304064437647483,1.472691469462954,1.231361304815236,1.1268395584373812,1.146547700591337,2.8180852873931017,1.1261771778822467,1.039767838045789,1.4642462047188456,1.3492473353770702
1.3743318121582608,1.1184180671916686,1.134089903483243,1.441247366708921,1.0551514711153231,1.211354938471219,1.1523061687733915,2.161282731985253,1.0892535300008817,1.038474339571724,1.360404435294031,1.343227367516827
1.431955219645405,1.1126179245037653,1.1377733632017375,1.3874181360528082,1.059034582685464,1.2792605434839437,1.2087369752941224,1.549648867691716,1.1053735309639334,1.0481182021919917,1.1899149860389109,1.322985987634623
1.4351713927622385,1.1068177818158618,1.141456822920232,1.3472133165498243,1.2406228783243065,1.2129513441316555,1.2651677818148532,1.9410833767207425,1.1445400950827769,1.0577620648122592,1.305304087196128,1.4013981928344197
1.3953768907004938,1.1010176391279585,1.1451402826387267,1.381921988196891,1.245822195106819,1.3345169394996936,1.2514034370938842,1.9272217046790143,1.1407138412381423,1.0577678262183845,1.3698658361880447,1.4435925518203274
1.4053066193996204,1.0952174964400552,1.1488237423572212,1.3126617053928449,1.308134188662322,1.3136224150188702,1.2376390923729153,2.3880410140765136,1.0747475345487665,1.0577735876245098,1.2727507822302913,1.5430006299040362
1.4708353155876654,1.089417353752152,1.1525072020757157,1.3370709578370896,1.3682915578903403,1.3577383039924626,1.223874747651946,2.39385159030166,1.0651418960381216,1.057779349030635,1.1491259392246704,1.5276830952518388
1.4449434458341297,1.0836172110642484,1.1561906617942102,1.374221840792792,1.3591854527790186,1.431245585085841,1.210110402930977,2.9898254647434124,1.1996211042761786,1.0577851104367604,1.3458286037608806,1.4870999490940895
1.4420847922666853,1.077817068376345,1.1598741215127046,1.4091596827100554,1.4011608531651805,1.2819348296726971,1.196346058210008,2.134643635248642,1.132546099086349,1.0577908718428857,1.3929383990588469,1.5474845873518308
1.3762791652925082,1.0720169256884418,1.1830585300587693,1.486544358113744,1.2654933838422944,1.4688123907886028,1.182581713489039,3.1191660832134067,1.3305520926824257,1.0577966332490107,2.0613302561303075,1.6555020220623131
1.3027434500674795,1.0662167830005385,1.2062429386048337,1.4113585733500171,1.3907505305712304,1.5546750998124037,1.143713222581779,2.2984699891512257,1.7802757179063866,1.057802394655136,1.64754852666352,1.5605224627323069
