Energy_Variance,Energy_Mean,Energy_P13,Counts_Variance,Energy_P10,Duration_Variance,Amplitude_Standard_deviation,Duration_Mean,RMS_Mean
-0.3315436558897565,-0.2714891846794323,-0.6210269677448532,-0.3191168866370732,-0.3513364905026326,-0.3289455985966873,-0.2377403274649012,-0.5131282509647127,-0.237716115773831
-0.3289088262910897,-0.2712401728394231,-0.6400558891487882,-0.3165990713596363,-0.3485107719457248,-0.3263354098352388,-0.2312462904624321,-0.5228205147402136,-0.2383095803843484
-0.3263358327081583,-0.2710353205838768,-0.6589781624674731,-0.3141399271445174,-0.3457521545548697,-0.3237863866783123,-0.2252434538152939,-0.5332893962285654,-0.2389834422564814
-0.3238222936922553,-0.2708732746332689,-0.6777859972260026,-0.3117372102019444,-0.3430580239851275,-0.3212961769844036,-0.2199055882746569,-0.5436393675052112,-0.2391226561261749
-0.3213659542490595,-0.2707527469480183,-0.6964717197282375,-0.3093887950678871,-0.3404259063060535,-0.3188625533280433,-0.2154473509988659,-0.5528923895306938,-0.2380498180458195
-0.3189646773343912,-0.2706725106215638,-0.7150277959384694,-0.307092666700365,-0.3378534584518657,-0.3164834046245089,-0.2120530928881893,-0.5602841064850388,-0.2351935902956984
-0.3166164360386997,-0.2706313960864583,-0.7334468531741667,-0.3048469132115774,-0.3353384594536342,-0.3141567284318633,-0.2098157414921311,-0.565518953392475,-0.2302483380640245
-0.3143193063953148,-0.2706282876056081,-0.7517217005501927,-0.3026497191762771,-0.332878802378921,-0.3118806238665208,-0.2087074452883293,-0.5688338237384722,-0.2232495954644371
-0.3120714607544746,-0.2706621200236121,-0.7698453481199192,-0.3004993594631595,-0.3304724869123827,-0.3096532850753782,-0.2085762742206499,-0.5708906354363751,-0.2145524470601823
-0.3098711616712622,-0.2707318757556624,-0.7878110246647867,-0.2983941935416324,-0.3281176125179592,-0.3074729952135614,-0.2091688065185082,-0.5725826001348004,-0.2047363632085093
-0.3077167562610057,-0.2708365819936948,-0.8056121940907208,-0.2963326602212691,-0.3258123721295252,-0.3053381208821497,-0.2101770400722959,-0.5748294950638344,-0.1944719332383039
-0.3056066709804639,-0.2709753081114578,-0.8232425703975018,-0.2943132727856099,-0.323555046322406,-0.3032471069849223,-0.2112993343017175,-0.5784080209172193,-0.1843850894034706
-0.3035394067973549,-0.2711471632519336,-0.8406961311953535,-0.2923346144858469,-0.3213439979230367,-0.3011984719673289,-0.2122974093214885,-0.583847204162775,-0.1749539100314798
-0.3015135347145325,-0.2713512940821146,-0.8579671297516025,-0.290395334363354,-0.319177667018364,-0.299190803404559,-0.2130313433460384,-0.5913983365567992,-0.1664596512035459
-0.2995276916184407,-0.2715868827015532,-0.8750501055589902,-0.2884941433730714,-0.3170545663304221,-0.2972227539088573,-0.2134640856420804,-0.6010609799341154,-0.158988924078993
-0.2975805764244451,-0.2718531446923516,-0.8919398934261583,-0.2866298107824719,-0.3149732769249196,-0.2952930373291392,-0.2136409010649935,-0.6126348809205355,-0.1524683290557435
-0.29567094649427,-0.2721493272993965,-0.9086316310995242,-0.2848011608232486,-0.3129324442256982,-0.2934004252185506,-0.2136565862860154,-0.6257758634125562,-0.1467121892424974
-0.2937976143031295,-0.2724747077306459,-0.9251207654345006,-0.2830070695750286,-0.3109307743096319,-0.2915437435479274,-0.2136231222855969,-0.6400487162526382,-0.1414697684174234
-0.2919594443362434,-0.2728285915681946,-0.9414030571421595,-0.2812464620623487,-0.3089670304589369,-0.2897218696451787,-0.2136495343497064,-0.6549852068674855,-0.1364641767054253
-0.2901553501963085,-0.2732103112816584,-0.9574745841454128,-0.2795183095478525,-0.3070400299500225,-0.2879337293424663,-0.2138290335244974,-0.6700978970434877,-0.1314069847282152
-0.2883842919051887,-0.2736192248361522,-0.9733317435861344,-0.2778216270062293,-0.3051486410599391,-0.286178294314709,-0.2142052978245447,-0.684993434046982,-0.1260758491353216
-0.2866452733845934,-0.2740547143878123,-0.9889712525314104,-0.2761554707648008,-0.3032917802732097,-0.2844545795944309,-0.2147881913613407,-0.6994152940951995,-0.1203296232894017
-0.2849373401018838,-0.274516185060405,-1.0043901474332464,-0.2745189362979153,-0.301468409673382,-0.2827616412493102,-0.2155581191404845,-0.7132304364398689,-0.114112538509632
-0.2832595768683651,-0.2750030637971097,-1.0195857824015375,-0.2729111561634413,-0.299677534505038,-0.2810985742099877,-0.2164794104020724,-0.7264287290877887,-0.1074525950237613
-0.2816111057785261,-0.2755147982820645,-1.034555826354726,-0.2713312980706641,-0.2979182008932477,-0.2794645102367777,-0.2175178559299413,-0.7391008096720785,-0.1004401849337675
-0.2799910842796881,-0.2760508559266945,-1.0492982591166768,-0.2697785630698111,-0.2961894937085939,-0.2778586160149071,-0.2186584186038546,-0.751383844488088,-0.0931877344554221
-0.278398703362419,-0.2766107229162645,-1.0638113665313365,-0.2682521838542565,-0.2944905345669077,-0.2762800913687881,-0.2199160138302585,-0.7633819093145674,-0.0857787337963686
-0.2768331858628851,-0.2771939033124511,-1.0780937346693211,-0.2667514231672149,-0.2928204799537893,-0.2747281675866349,-0.2213291524380626,-0.7751020544014408,-0.078232699057979
-0.2752937848690464,-0.2777999182080742,-1.0921442432021624,-0.2652755723054027,-0.2911785194648108,-0.2732021058474498,-0.2229384482574131,-0.7864426379491422,-0.0705048445503746
-0.2737797822232748,-0.2784283049304294,-1.105962058021063,-0.2638239497127729,-0.2895638741530671,-0.2717011957430761,-0.2247662686356452,-0.7972358876562998,-0.0625161939896279
-0.272290487114572,-0.2790786162899374,-1.1195466231771736,-0.2623958996579838,-0.2879757949764172,-0.270224753888594,-0.2268074839157651,-0.8073165493024534,-0.0541942833117143
-0.2708252347541213,-0.2797504198710868,-1.1328976522201553,-0.2609907909897708,-0.2864135613373874,-0.2687721226148893,-0.229025338110531,-0.8165845508387308,-0.0455065474428284
-0.2693833851284053,-0.28044329736287,-1.1460151190108343,-0.2596080159648582,-0.2848764797092711,-0.2673426687377134,-0.2313458901707225,-0.8250446032622281,-0.0364799945800151
-0.2679643218245771,-0.2811568439261325,-1.158899248082249,-0.258246989143465,-0.2833638823424739,-0.2659357823980005,-0.233653439484613,-0.8328181266310778,-0.0272078359014677
-0.2665674509231882,-0.2818906675954407,-1.1715505046214494,-0.2569071463478466,-0.2818751260456246,-0.2645508759686177,-0.2357922908988676,-0.8401301413891535,-0.0178452731799631
-0.2651921999537559,-0.2826443887132582,-1.1839695841419469,-0.2555879436796625,-0.2804095910363986,-0.2631873830230973,-0.237571267778742,-0.8472819527567553,-0.0086019299204317
-0.2638380169089992,-0.1268944326111899,-1.196157401913971,-0.2542888565922864,-0.2789666798573886,-0.2618447573622414,-0.2387756768225366,-0.8546400975604748,0.0002570671867329
-0.2625043693138856,0.4325542961284421,-1.2081150822165774,-0.2530093790144613,-0.277545816352717,-0.2605224720947967,-0.2392937052940185,-0.8625213431146951,0.0085124616626151
-0.261190743345926,0.9873716859545684,-1.2198439474722018,-0.2517490225219759,-0.276146444701409,-0.2592200187686889,-0.2390771061319022,-0.87115308122822,0.0159864833482392
-0.2598966430034143,1.5273453626225808,-1.2313455073207569,-0.2505073155542843,-0.2747680285038398,-0.2579369065495605,-0.2381741722543973,-0.8806150762506848,0.0225915414273666
-0.2586215893185556,1.9661609954560355,-1.2426214476865822,-0.2492838026732126,-0.2734100499178507,-0.2566726614435984,-0.2367239378397564,-0.8907731533289992,0.0283702511156298
-0.2573651196126457,1.9053196740052225,-1.2536736198876894,-0.2480780438611086,-0.27207200884137,-0.255426825561858,-0.2349313906032058,-0.901230157074372,0.0335206242325251
-0.2561267867906739,1.848230617127684,-1.264504029832854,-0.2468896138559758,-0.270753422138611,-0.2541989564234887,-0.233028788694931,-0.9113183737999886,0.0383917166218426
-0.2549061586729055,1.7944617686960365,-1.2751148273481585,-0.2457181015213131,-0.2694538229071258,-0.2529886262954536,-0.2312302616609989,-0.9201593184754868,0.0434372546912515
-0.2537028173611735,1.743646109935825,-1.2855082956706885,-0.244563109248535,-0.2681727597831922,-0.251795421566506,-0.2296909236099767,-0.9268025240622288,0.0491261852754044
-0.2525163586377717,1.6954695650668423,-1.2956868411431586,-0.2434242523900059,-0.2669097962831855,-0.2506189421533411,-0.2284827323963519,-0.9304207770742547,0.0558288823257627
-0.2513463913949825,1.649661547975919,-1.3056529831396044,-0.2423011587208467,-0.2656645101787508,-0.2494588009369877,-0.2275916240488908,-0.930507840424878,0.0637116861286255
