Energy_Variance,Energy_Variance.1,Energy_Variance.2,Energy_Variance.3,Energy_Variance.4,Energy_Variance.5,Energy_Variance.6,Energy_Variance.7,Energy_Variance.8,Energy_Variance.9,Energy_Variance.10,Energy_Variance
2439087.102144222,67484453.63700876,5052.872741000594,38545536732.2193,204688806.12928984,7278723015.878869,8257886.749830138,21613889.61762952,26721482.446128868,236308.264290005,69125315.42869528,131949501.87470654
1387569.6183800409,67484453.63700876,3320.783859682103,7534161325.761113,689021095.8616097,642774225.4711995,111056940.92842238,326580.8202033636,37716682798.80303,9126.091989319246,2793772.31655628,130046248.18381284
2884554.2506949687,67484453.63700876,1312.234908315647,945454069.8083532,687425082.9571438,5467610204.823165,36122449.03689378,223731.84774831345,1011086669.5810244,9126.091989319246,5418478.541190803,106746326.15807304
3262880.210524842,112701155.06384584,1312.2349083156469,13073365.174803026,636526481.523395,1096018586.1015832,32167541.123740647,290404449.880026,49932158674.44036,9126.091989319248,72369.30815288087,66449587.11283869
2745223.037652553,132505975.80687132,614.1949105112602,2563834102.3629065,319635226.76162064,3692682815.077332,121580594.90224531,1759009.6561146274,4348907.947468756,9126.091989319248,438837.9695698135,282317888.35218406
1962485.663380921,132505975.80687132,1175.5753340073304,166581849.41002706,395814106.86483645,628250443.0575562,74930803.72352648,4007699.84176687,561559.6354201325,9126.091989319246,14637.760647712134,87775178.91770864
8181870.633752452,132505975.80687132,1175.5753340073309,23786494.44946295,239936760.2107957,648790263.7917521,27474.96986084518,813304.5325917453,436324.1751980808,9126.091989319242,23164.57531715409,65439956.568763554
1162574.413737958,132505975.80687132,1175.5753340073304,199472891.8093636,198672311.3083008,429409548.6770121,102.13427814074647,2755937.678085309,398387.6667892608,9126.091989319246,2305717.8992552967,123471516.96728016
2403821.4315348016,17801338.989340562,444.3826167800013,2468964.9157583867,338087383.54249686,379532561.5680276,3229911.402348228,151409801.84946,726805.5533633082,771268.2091839493,184076.42991927708,87995510.9931497
2342221.383638903,9.237968533645518,335.8743244119514,25163339.48181016,374196616.8992679,7970036.815497673,17339270.40791325,14914976333.757614,1237032.4375869287,1735094651.1238556,1042859356.3150733,64108192.593187705
2544223.487888557,9.23796853364552,1081.8053046173738,172602956.3513174,217689694.19223785,5876076.356225192,1871.7253402328013,3404255276.841565,3544523.2924597594,596397624.353724,5324677741.921135,93735305.56317258
673428.2342528517,9.237968533645525,937.747111797792,101945982676.34508,170654741.8076173,636836.9119458959,1871.7253402328008,142858041545.0071,1120913.9350498868,706015853.1132389,55100.17615101588,52155460.25009737
8780596.45914551,9.237968533645525,937.7471117977918,3870746.516458932,166421769.17816305,2050389.2582384765,1871.7253402328008,4984936743.101872,7251638.490811802,28793170946.64872,67564.51448017472,120624314.4164949
2933152.4818564164,9.237968533645518,937.7471117977918,4175281.0501042632,171868687.80264232,652279455.1429074,416801171.835627,188774450265.67944,145494519.11710986,321880.4598342057,87331.17718412516,43818711.002618566
