Counts_P7,Counts_P7.1,Counts_P7.2,Counts_P7.3,Counts_P7.4,Counts_P7.5,Counts_P7.6,Counts_P7.7,Counts_P7.8,Counts_P7.9,Counts_P7.10,Counts_P7
11860.701210312354,10731.49306325149,11748.63656243358,14215.093314471913,17721.700700380214,8334.585932646472,3116.019763313567,8395.531130109097,5746.577636863247,7073.370229823852,23586.584359092773,4793.199679539735
9975.750101809344,5721.286052669197,31843.76790137582,2549.2111776323454,30877.840965267587,11694.775676628256,9166.776465501613,13330.864358453628,31251.7240678172,11302.562476706262,16968.55812107588,4601.560752673718
12599.25654864626,5392.983083367882,19118.74802181292,8749.770071882436,10127.091499418197,13786.209199411707,5577.9396535578935,18012.360002977555,8096.921169630493,5721.247114080788,22188.239869432447,6137.557141411999
20332.708506106133,5720.869447520791,5785.866920638748,6768.216080395996,5721.162591821254,8943.400469278797,5720.739193094748,5228.469829540459,10673.626439031585,5721.247114081915,8463.436022322407,5583.593630743252
59483.87211140862,5720.869447523462,5721.285009747213,8496.614766570776,13432.731946561364,14117.059104070098,5720.739193097464,23616.010765421004,12124.425954060644,5721.247114081707,21812.9391000001,7749.903036701192
7634.099314994641,5720.86944751748,5721.285009747456,5235.046666544854,5721.2853229280445,11101.516547992627,7494.402902043792,29065.64659358537,17422.17447578963,5721.247114080661,11689.025247956586,3723.75943168016
8303.542107974028,5720.86944752098,5721.285009746285,2652.3664000628664,11106.719127897342,5721.272625464477,5721.265055427762,15735.34538750844,10091.227351370322,5721.247114080769,17637.218328877512,4451.663300461995
13620.252136805831,4796.713438986707,8847.391152872297,7057.238100663354,9386.660958337568,23600.23298310327,3688.6930877712257,13554.985516666282,14320.97533828823,5721.247114081878,21971.172231331107,3500.2740035078605
28548.603755917527,5721.1595445891535,7018.60501351155,5748.839589702703,38045.24064532496,8603.056868338988,20758.11138785279,9690.551150129366,16735.57031241629,6941.124509425974,29093.66865713,5338.9825530027165
50032.77807780078,5721.159544582487,22488.855831841185,3140.857739018557,19135.72754413873,16675.33855407745,5721.286694526651,18743.87562022398,10439.977786058014,7539.551610230432,17941.697555441177,5492.61486459436
14444.37463767231,5721.159544588437,5721.288281703417,5828.176557480833,5721.231736418229,7063.573101442675,3732.300957996227,16815.178832040867,6328.139510644257,10308.170206114566,8087.218748650336,8932.92459610614
10075.912165663882,5721.159544589308,4244.940520544195,13353.305779109156,5721.231736417893,25009.434991477432,5718.944512310737,16755.38956386817,20206.911995961866,5720.906557980004,33418.437292975774,5923.864135839063
7208.36691863203,6839.074851893531,5719.496944833603,3844.557153196232,38341.17118707615,12286.2925756498,9587.76703069974,38089.40926172592,15983.06265137828,5720.906557990724,18559.48733259933,6439.789309453239
11497.238798511602,9459.622954501823,5719.496944826327,6059.264840919098,9574.248627775843,8152.903825759459,19635.532565172776,27194.41427995586,7616.801956868633,5720.906557987656,17297.479502836057,5018.570510163145
30196.16051278395,5180.827777223413,5719.496944826338,22768.439621363766,21589.65657987368,6507.69712275745,25989.51497735271,2656.415039156192,19923.016411601584,5720.906557986564,15009.645105651489,6108.240689408511
10464.322447782148,1946.7760978727647,5719.496944831671,4244.535312324767,26613.10255547701,5720.846101916861,9346.40999117228,19919.71298216703,13393.05833170927,5720.90655797894,25143.73006875812,7295.076203127796
18320.69470719269,11697.42719023551,5719.496944843025,17225.626436931907,6541.106126890229,10895.847662121509,10353.591653331116,13360.596191063829,12778.81460981048,5720.9065579899725,4613.610126215727,11032.630696867996
5954.790294013336,11471.115498644693,4131.561653951798,15327.002460534102,3264.7854583271983,14315.797298226827,14799.84470079515,29258.544994978514,35609.899696856985,5720.906557991024,4829.666045074809,6051.375459225126
6255.282397447812,5721.281680911015,5718.856464975522,8698.655825880884,15151.522508624505,8200.014720185618,11203.336271310503,11003.990129543825,6600.654789045214,5720.906557985183,14276.437138528752,6580.484576214716
9004.721292218801,5721.281680910724,5079.576518695314,11761.430545694406,38403.77937069902,7872.052322355143,20801.40803074577,7084.951818854927,11592.385603493352,4678.949871710568,43712.95635868697,4868.3527370596885
8007.242399787278,5721.281680911064,9031.251741978724,2984.882736444544,7072.790296123319,35178.57108568318,5721.273401418689,11583.6338231276,13542.726477666436,5720.941431893871,18627.87209617544,5892.322944595345
7279.680871736329,5721.232508382547,10872.648612404268,8291.059765972226,26612.408462844884,26537.12940772508,8931.176076811766,9360.943029613278,12162.82610652652,5720.941431897099,18198.11015447736,5982.473507211576
11505.96569062829,5720.1889445324205,5721.283243164694,4895.34646837324,15382.62831679024,18667.453373522625,11713.281833651929,7848.264969663479,7669.616212741085,8512.077161571193,19779.505345249683,5967.056171353903
