Duration_P7,Duration_P7.1,Duration_P7.2,Duration_P7.3,Duration_P7.4,Duration_P7.5,Duration_P7.6,Duration_P7.7,Duration_P7.8,Duration_P7.9,Duration_P7.10,Duration_P7
116691.8032269333,6686.5442918718045,6695.31202483919,12457.170474879344,6686.425420183247,14564.302896913505,6686.544293107309,149265.41930288452,9438.721376128631,6686.544292787391,125974.77002474973,144014.61240267917
124288.41201693183,6686.544291861515,6686.544292939395,27332.73678804444,14486.114388932074,16367.859871411749,6686.544293107304,109763.24354401253,14981.846687086982,6686.544292787665,125622.97284379655,142583.3962360648
106668.50684062432,6686.544291868019,6686.5442929400015,43984.47236294466,6686.544292821775,95341.95019612504,16487.245575960995,149638.0118299241,27223.83383387488,6686.54429278783,117364.10261886092,149017.3114573084
136758.1600492169,6686.544291864679,6686.544292940014,17695.541081577958,12077.6908765205,6686.544293038531,6686.54429310558,148892.70898818914,16112.836673343523,6686.544292787979,103750.93847355733,149424.0785680441
123094.89050486096,7281.252593123147,13451.140795924744,21852.6556807112,19310.53368436653,72602.27634561958,16505.427018213864,129609.13318908749,16613.57177188764,6686.544292788261,52750.63116075606,141749.063281923
72320.57070871259,6686.544290619785,9032.60774310718,20292.74978058853,58277.03594815924,13389.640155801244,101276.96446982256,122847.5535969964,13935.986537074908,9591.63314753461,61006.34203940929,145301.75529814957
129957.59098285696,6686.544290618452,23898.80459252612,13207.34991098651,6747.080233999194,20940.29085874465,6686.544293030423,132809.4673533242,26321.50885882616,9127.04637981775,20509.748126748327,145228.12288146958
21610.59427498532,6686.544290619452,6686.544288596035,27160.735585314585,6686.544293888482,80081.81899776011,17093.775326179555,140092.07203180445,14972.149311892315,16579.492285925156,42776.36799194124,143441.22938394637
60446.315333078346,6686.54429062033,14068.3406183783,14322.673460114347,6686.54429388863,82685.71504931337,6686.544286626971,132417.8939431832,34759.880474958685,6686.544294080705,64879.27326127996,150511.7180261678
37730.041194932666,7747.725495472841,6686.54429321775,25336.606891048777,50499.46415635449,14760.951210416886,74663.48858627069,121802.22487306358,60230.194588314334,6686.544294080527,118461.0615104356,152539.71513131293
111023.23907971336,12355.954887494345,6686.5442932174565,16679.841611406348,12126.071188274003,11751.047842398317,53285.230605776014,138501.31173626988,27851.53259305613,6686.544294080273,134280.11133137307,147822.5561811174
92266.17725653596,12906.885112670863,6686.544293217696,67604.13637344277,31397.612823333933,12778.654781245692,23811.767931244347,140172.6490091212,28249.87653955161,6686.544294080668,60442.10609655565,146475.60864791684
130554.65136837884,6686.544294486167,6686.544293217347,27849.92718535336,34685.64148888905,6686.544292452592,11013.852508852968,141624.23857733296,17526.280862467236,6686.544294080688,49177.834243616366,147798.01032891203
124043.61447143122,12657.157342462526,6686.544293217521,76819.37038767789,67544.53390513937,17542.902759674544,19601.87903725089,133882.37776839925,29890.24447568813,6686.544294080966,74024.66758599576,143806.61103750535
113174.80417398906,10728.036034391223,7819.554959696092,47652.28250393278,89147.90231239275,20790.720383548218,15797.84110966008,130108.48974253258,45853.98385602646,6686.544294080758,12497.938060410988,150787.3353205755
147256.23878502825,6686.544292934183,6686.544293218488,11457.581703221207,69524.31185002877,65700.19409661798,11585.78188966837,145929.90095531667,13853.642122274949,6686.5442940811545,32487.37110077633,155509.83882930872
135493.04566567493,6686.544292932986,7512.20501216392,36498.920227368064,43442.70006454696,99679.73014243288,38220.28319296604,144142.86639704517,12475.012356784682,9984.477917295577,73653.17214249788,146490.97239421634
131830.7068866907,6686.544292934102,11369.079192124149,72865.52703139922,10547.662219735672,75983.13333042814,6686.544291575853,130939.01158657002,32933.389929557416,6686.544292750397,43544.48866009488,152747.2272625918
138017.7898306637,6687.260635301402,11112.49622849684,133096.62349493164,34945.28988030354,107933.49031221367,9596.550160837944,144347.658672638,14616.572904422215,6686.544292751411,49214.66972084085,150133.04043767584
138535.54750119997,6686.849892827974,6686.54428969802,118871.96615440235,35282.90353511625,47223.03838404187,12633.744525500037,133202.63516572543,15984.64930930219,33508.44794473341,43025.02625607414,147108.00071408684
140755.18745135248,6686.54429300397,6686.544293431083,123481.82475009642,16160.758327428865,92614.25919937696,12020.79859072631,127171.5189256974,21285.86776266196,6686.544292628766,53555.57079623688,139915.7554602132
140695.3160947469,6686.544293003592,6686.544293431051,99456.28252719704,33767.68952131963,89194.75744044426,49750.2890895489,58938.36507520974,77115.99341633629,18967.04662122648,78898.71213189555,143950.16747319553
140819.57389817492,6686.544293003403,13032.34176363738,90208.0211089043,112828.9218114989,71660.04722722873,6686.54429377347,142225.046483877,35170.67253689538,13078.213023995226,69289.71337998746,155773.96313456754
142705.33393017758,6686.544293003173,6685.974489798476,105406.77877026128,126647.36517355208,124266.20019751709,11414.030671869024,148666.23964509697,64007.251021035896,6686.544292810559,77986.64587665418,148774.0640823712
143095.25663879083,6686.544293003414,6686.544293140401,124865.4256572432,150216.3120131272,85734.25004070887,11111.198197517706,133343.18804376732,20521.163777386835,6686.544292810855,15315.581937177803,143791.62183176557
146253.64162500566,12274.19670345618,6686.544293140159,108508.02883272668,150658.8886320915,134706.6394977918,6686.54429287381,144541.51087720992,35436.17113021738,6686.544292810704,71842.79664822927,147621.983867046
143184.97336642383,6686.544293210022,8232.521103042056,129155.31646183287,141580.4885372905,134942.2119842612,12232.871056455971,136089.9354464527,64309.29240681532,6686.544292811166,62805.13399293972,142844.64769962608
